Adresse;Bezeichnung;Größe
3675490;Trägheitsmoment der Räder;1x1
3675492;Trägheitsmoment des Motors;1x1
3712722;Referenz-Fahrzeugmasse;1x1
3712724;Leergewicht plus Fahrer und Kraftstoff;1x1
3712726;Applicationwert für Anhängermasse;1x1
3675950;Berechnungskennlinie der Zielmotordrehzahl bei negativer Fahrwiderstandsleistung;8x1
3676322;Obere Drehzahlgrenze für Handschalter ACC;1x1
3676324;Offset auf obere Drehzahlgrenze für Vorwarnung;1x1
3676326;Untere Drehzahlgrenze für Handschalter ACC;1x1
3676328;Offset auf untere Drehzahlgrenze für Vorwarnung;1x1
3675494;Untere Drehzahlgrenze ACC Handschalter;1x1
3675966;Motor Drehzahloffset für die Freigabe der Wunschübersetzung;1x1
3676330;Maximalgang für Betrieb ACC/GRA;1x1
3676331;Mindestgang für Aktivierung ACC/GRA;1x1
3713440;Vergleichswert zur Leergangerkennung;1x1
3712728;Vergleichswert für die Fahrtrichtungsberechnung;1x1
3712802;Kennlinie zur Berechnung des umgekehrten Schwimmwinkels des Eingangswertes;35x1
3712872;Maximale plausible Fahrbahnsteigung;1x1
3675508;Additiver P-Faktor bei Überschreitung des Verzögerungsgrenzwerts;5x1
3675532;Kennlinie zur Proportionalfaktor für Regler, Basiswert für Bremseingriff;6x1
3675576;Kennfeld zur Proportionalfaktor für Regler, Basiswert für Zug-betrieb;8x6
3674714;Umrechnung Bremsmoment in Stellgröße für Bremse;6x1
3675968;Vergleichsschwelle der Fahrwiderstandsleistung zur Freigabe der Wunschübersetzung;1x1
3675672;Übersetzungsverhältnis des Differentials;1x1
3676722;Schwellwert des Gaspedalwinkels, ab welchem auf Zustand ACTIVE erkannt wird;1x1
3676724;Schwellwert des Gaspedalwinkels, ab welchem auf Zustand OVERRIDE erkannt wird;1x1
3676332;Vergleichswert des Fahpedalsignals zur Berechnung der OVERRIDE condition;1x1
3676726;Fahrpedalschwelle für nicht-übertreten;1x1
3676728;Fahrpedalschwelle für übertreten;1x1
3676334;Grenze zur Erkennung der Fahrpedalbetätigung;1x1
3675674;Initialisierungswert für Filter der Getriebeübersetzung;1x1
3675970;Maximales Schleppmomentverhältnis.;1x1
3675972;negativer Offsetwert für die Berechnung der ungerampten Wunschübersetzung;1x1
3675974;positiver Offsetwert für die Berechnung der ungerampten Wunschübersetzung;1x1
3712874;Maske zur Auswahl der ABS Bremseneingriffe;1x1
3712874;Maske zur Auswahl der ABS Bremseneingriffe;1x1
3416180;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Vector Element (verwendet von ASCET), nicht editieren!;1x1
3416181;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Channel Element(verwendet von ASCET), nicht editieren!;1x1
3416182;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Vector Element (verwendet von ASCET), nicht editieren!;1x1
3416183;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Channel Element(verwendet von ASCET), nicht editieren!;1x1
3712152;Maske für Bremsenfehler in Fehlerpfad DFC_ACCIBrkErr;1x1
3712875;Maske für BAB, FDR und EDS-Eingriff- Zustand von SIIO_stBrk;1x1
3712153;Maske für Verwendbarkeit des Bremssystems;1x1
3712154;Applikationsparameter zur Ausblendung der Bremsunplausibilität im Fehlerpfad DFC_ACCIBrkNPL;1x1
3416184;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Vector Element (verwendet von ASCET), nicht editieren!;1x1
3416185;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Channel Element(verwendet von ASCET), nicht editieren!;1x1
3713444;Maske für Acci CAN-Status;1x1
3713448;Maske für Kupplungszustand;1x1
3676336;schnelle ACC Abschaltung durch Conditions 1;1x1
3676337;Maske für Einschaltbedingung 1;1x1
3676338;schnelle Abschaltung über Conditions 2;1x1
3676339;Maske für Abschaltbedingung 2;1x1
3676340;schnelle ACC Abschaltung durch Conditions 3;1x1
3676341;Maske für Abschaltbedingung 3;1x1
3712155;der Maskenwert des Fehlerzustands bei der Tastenschnittstelle;1x1
